Nome,Saldo Atual,Divida Atual
Cliente1,513,0
Cliente2,1391,0
Cliente3,2445,0
Cliente4,426,0
Cliente5,559,0
Cliente6,0,227
Cliente7,1976,0
Cliente8,1740,0
Cliente9,1471,0
Cliente10,0,241
Cliente11,1944,0
Cliente12,0,1214
Cliente13,0,737
Cliente14,0,2347
Cliente15,762,0
Cliente16,1727,0
Cliente17,0,2972
Cliente18,0,3632
Cliente19,2656,0
Cliente20,0,1344
Cliente21,3273,0
Cliente22,0,1357
Cliente23,1874,0
Cliente24,0,1422
Cliente25,0,2982
Cliente26,0,1884
Cliente27,0,3065
Cliente28,0,262
Cliente29,0,138
Cliente30,0,4803
Cliente31,0,2529
Cliente32,2013,0
Cliente33,2665,0
Cliente34,0,2167
Cliente35,0,404
Cliente36,0,1469
Cliente37,0,1000
Cliente38,0,115
Cliente39,763,0
Cliente40,313,0
Cliente41,0,629
Cliente42,0,525
Cliente43,0,1106
Cliente44,748,0
Cliente45,0,3250
Cliente46,0,687
Cliente47,0,3391
Cliente48,0,1732
Cliente49,0,3282
Cliente50,0,3666
Cliente51,893,0
Cliente52,1644,0
Cliente53,0,2982
Cliente54,3198,0
Cliente55,0,2665
Cliente56,174,0
Cliente57,0,1308
Cliente58,0,370
Cliente59,984,0
Cliente60,0,1946
Cliente61,0,2769
Cliente62,450,0
Cliente63,976,0
Cliente64,2847,0
Cliente65,2568,0
Cliente66,0,2736
Cliente67,0,4257
Cliente68,0,727
Cliente69,0,1776
Cliente70,0,816
Cliente71,84,0
Cliente72,0,2436
Cliente73,1587,0
Cliente74,3608,0
Cliente75,0,2016
Cliente76,0,4868
Cliente77,0,159
Cliente78,0,377
Cliente79,1352,0
Cliente80,1769,0
Cliente81,0,3275
Cliente82,1966,0
Cliente83,653,0
Cliente84,1975,0
Cliente85,3083,0
Cliente86,3430,0
Cliente87,1060,0
Cliente88,3821,0
Cliente89,3373,0
Cliente90,1166,0
Cliente91,878,0
Cliente92,0,796
Cliente93,0,1036
Cliente94,2458,0
Cliente95,0,3086
Cliente96,2997,0
Cliente97,2285,0
Cliente98,429,0
Cliente99,0,4592
Cliente100,1718,0
Cliente101,862,0
Cliente102,1123,0
Cliente103,0,970
Cliente104,233,0
Cliente105,211,0
Cliente106,0,4834
Cliente107,4146,0
Cliente108,2818,0
Cliente109,0,574
Cliente110,0,1588
Cliente111,0,1315
Cliente112,1603,0
Cliente113,1107,0
Cliente114,2071,0
Cliente115,0,4133
Cliente116,366,0
Cliente117,2407,0
Cliente118,0,679
Cliente119,4356,0
Cliente120,2737,0
Cliente121,2608,0
Cliente122,4281,0
Cliente123,0,615
Cliente124,581,0
Cliente125,478,0
Cliente126,1305,0
Cliente127,2069,0
Cliente128,2177,0
Cliente129,0,2174
Cliente130,0,2100
Cliente131,2290,0
Cliente132,3451,0
Cliente133,1135,0
Cliente134,0,584
Cliente135,0,5209
Cliente136,1222,0
Cliente137,1730,0
Cliente138,1389,0
Cliente139,1143,0
Cliente140,3852,0
Cliente141,0,1439
Cliente142,0,4584
Cliente143,2924,0
Cliente144,877,0
Cliente145,0,2251
Cliente146,0,265
Cliente147,4351,0
Cliente148,0,3662
Cliente149,2946,0
Cliente150,589,0
Cliente151,1248,0
Cliente152,3721,0
Cliente153,0,1417
Cliente154,0,3573
Cliente155,984,0
Cliente156,0,2030
Cliente157,1622,0
Cliente158,1203,0
Cliente159,0,1914
Cliente160,0,2288
Cliente161,237,0
Cliente162,2016,0
Cliente163,283,0
Cliente164,0,441
Cliente165,753,0
Cliente166,4694,0
Cliente167,187,0
Cliente168,1632,0
Cliente169,0,1927
Cliente170,0,921
Cliente171,1469,0
Cliente172,0,3085
Cliente173,829,0
Cliente174,0,826
Cliente175,0,1362
Cliente176,0,257
Cliente177,0,843
Cliente178,0,2323
Cliente179,2760,0
Cliente180,0,4387
Cliente181,0,1044
Cliente182,0,442
Cliente183,0,389
Cliente184,0,3247
Cliente185,0,1931
Cliente186,0,726
Cliente187,1607,0
Cliente188,0,276
Cliente189,607,0
Cliente190,1979,0
Cliente191,0,3265
Cliente192,2415,0
Cliente193,0,1033
Cliente194,2077,0
Cliente195,0,803
Cliente196,0,613
Cliente197,1003,0
Cliente198,643,0
Cliente199,0,2495
Cliente200,2250,0
