Nome,Saldo Atual,Divida Atual
Cliente1,272,0
Cliente2,0,969
Cliente3,0,242
Cliente4,0,995
Cliente5,992,0
Cliente6,12,0
Cliente7,0,1805
Cliente8,0,64
Cliente9,1180,0
Cliente10,0,1843
Cliente11,0,3372
Cliente12,0,994
Cliente13,1050,0
Cliente14,1235,0
Cliente15,0,2415
Cliente16,0,1568
Cliente17,241,0
Cliente18,0,2886
Cliente19,1117,0
Cliente20,0,746
Cliente21,0,892
Cliente22,0,4774
Cliente23,1691,0
Cliente24,0,2301
Cliente25,0,1178
Cliente26,1362,0
Cliente27,4104,0
Cliente28,1418,0
Cliente29,973,0
Cliente30,0,2546
Cliente31,0,4577
Cliente32,0,4321
Cliente33,2649,0
Cliente34,0,4073
Cliente35,0,2395
Cliente36,0,386
Cliente37,2098,0
Cliente38,2972,0
Cliente39,211,0
Cliente40,2147,0
Cliente41,1119,0
Cliente42,0,51
Cliente43,2603,0
Cliente44,1015,0
Cliente45,2494,0
Cliente46,552,0
Cliente47,0,2156
Cliente48,0,1676
Cliente49,894,0
Cliente50,270,0
Cliente51,0,1111
Cliente52,648,0
Cliente53,2548,0
Cliente54,0,935
Cliente55,1772,0
Cliente56,0,2890
Cliente57,0,847
Cliente58,0,707
Cliente59,0,3792
Cliente60,0,2293
Cliente61,3942,0
Cliente62,0,1348
Cliente63,0,799
Cliente64,0,535
Cliente65,0,623
Cliente66,0,1696
Cliente67,0,55
Cliente68,2808,0
Cliente69,0,1755
Cliente70,0,3934
Cliente71,850,0
Cliente72,0,3222
Cliente73,0,2986
Cliente74,482,0
Cliente75,0,2672
Cliente76,0,319
Cliente77,532,0
Cliente78,0,4577
Cliente79,0,1371
Cliente80,1240,0
Cliente81,1311,0
Cliente82,0,1918
Cliente83,206,0
Cliente84,0,577
Cliente85,0,428
Cliente86,0,769
Cliente87,427,0
Cliente88,0,634
Cliente89,0,2885
Cliente90,0,1783
Cliente91,1286,0
Cliente92,0,1763
Cliente93,1600,0
Cliente94,0,1059
Cliente95,1220,0
Cliente96,4311,0
Cliente97,0,3491
Cliente98,0,1044
Cliente99,2275,0
Cliente100,1218,0
Cliente101,1521,0
Cliente102,0,3335
Cliente103,1120,0
Cliente104,0,1907
Cliente105,2655,0
Cliente106,1234,0
Cliente107,229,0
Cliente108,3265,0
Cliente109,0,802
Cliente110,0,1108
Cliente111,0,395
Cliente112,0,5096
Cliente113,0,3819
Cliente114,4144,0
Cliente115,0,171
Cliente116,4110,0
Cliente117,3142,0
Cliente118,0,697
Cliente119,4279,0
Cliente120,581,0
Cliente121,200,0
Cliente122,3419,0
Cliente123,0,2456
Cliente124,67,0
Cliente125,0,253
Cliente126,530,0
Cliente127,0,3651
Cliente128,2334,0
Cliente129,0,3258
Cliente130,0,2011
Cliente131,448,0
Cliente132,788,0
Cliente133,0,3685
Cliente134,3531,0
Cliente135,0,4027
Cliente136,2376,0
Cliente137,1925,0
Cliente138,0,3546
Cliente139,0,3027
Cliente140,0,2092
Cliente141,1511,0
Cliente142,0,1844
Cliente143,4515,0
Cliente144,0,2292
Cliente145,0,2869
Cliente146,3126,0
Cliente147,0,715
Cliente148,0,1856
Cliente149,2547,0
Cliente150,4173,0
Cliente151,1653,0
Cliente152,3703,0
Cliente153,0,702
Cliente154,0,11
Cliente155,1852,0
Cliente156,2830,0
Cliente157,0,922
Cliente158,3263,0
Cliente159,0,2481
Cliente160,0,3861
Cliente161,0,2415
Cliente162,0,4940
Cliente163,0,1231
Cliente164,147,0
Cliente165,1884,0
Cliente166,0,949
Cliente167,0,3167
Cliente168,0,33
Cliente169,1878,0
Cliente170,1804,0
Cliente171,0,2098
Cliente172,0,3948
Cliente173,0,2449
Cliente174,0,1569
Cliente175,74,0
Cliente176,0,4354
Cliente177,0,2898
Cliente178,461,0
Cliente179,944,0
Cliente180,0,1056
Cliente181,0,423
Cliente182,1307,0
Cliente183,1577,0
Cliente184,2043,0
Cliente185,0,897
Cliente186,588,0
Cliente187,4415,0
Cliente188,0,1024
Cliente189,0,505
Cliente190,1050,0
Cliente191,1761,0
Cliente192,0,234
Cliente193,2708,0
Cliente194,0,2987
Cliente195,3896,0
Cliente196,471,0
Cliente197,1632,0
Cliente198,0,1747
Cliente199,0,1868
Cliente200,983,0
